language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
pt,v1,1,46,48,meu,meu,meu,unknown,meu,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,47,49,pelo,pelo,pelo,unknown,pelo,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,48,50,ela,ela,ela,unknown,ela,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,49,51,vai,vai,vai,unknown,vai,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,50,52,só,só,só,unknown,só,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,51,53,dia,dia,dia,unknown,dia,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,52,54,pela,pela,pela,unknown,pela,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,53,55,sobre,sobre,sobre,unknown,sobre,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,54,56,bem,bem,bem,unknown,bem,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,55,57,até,até,até,unknown,até,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,56,58,mesmo,mesmo,mesmo,unknown,mesmo,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,57,59,pode,pode,pode,unknown,pode,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,58,60,pessoas,pessoas,pessoas,unknown,pessoas,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,59,61,te,te,te,unknown,te,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,60,62,ter,ter,ter,unknown,ter,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,61,63,tudo,tudo,tudo,unknown,tudo,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,62,64,ainda,ainda,ainda,unknown,ainda,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,63,65,aqui,aqui,aqui,unknown,aqui,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,64,66,fazer,fazer,fazer,unknown,fazer,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,65,67,minha,minha,minha,unknown,minha,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,66,68,anos,anos,anos,unknown,anos,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,67,69,todos,todos,todos,unknown,todos,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,68,71,quem,quem,quem,unknown,quem,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,69,72,sem,sem,sem,unknown,sem,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,70,73,agora,agora,agora,unknown,agora,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,71,74,entre,entre,entre,unknown,entre,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,72,75,era,era,era,unknown,era,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,73,76,seus,seus,seus,unknown,seus,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,74,77,nas,nas,nas,unknown,nas,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,75,78,assim,assim,assim,unknown,assim,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,76,79,depois,depois,depois,unknown,depois,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,77,80,este,este,este,unknown,este,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,78,81,onde,onde,onde,unknown,onde,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,79,82,vou,vou,vou,unknown,vou,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
pt,v1,1,80,83,brasil,brasil,brasil,unknown,brasil,wordfreq:pt,wordfreq_seeded;deterministically_filtered;structurally_curated
