language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
sv,v1,1,46,48,bra,bra,bra,unknown,bra,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,47,49,finns,finns,finns,unknown,finns,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,48,50,ha,ha,ha,unknown,ha,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,49,51,skulle,skulle,skulle,unknown,skulle,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,50,52,ut,ut,ut,unknown,ut,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,51,53,min,min,min,unknown,min,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,52,54,dig,dig,dig,unknown,dig,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,53,55,hade,hade,hade,unknown,hade,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,54,56,ju,ju,ju,unknown,ju,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,55,57,lite,lite,lite,unknown,lite,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,56,58,mycket,mycket,mycket,unknown,mycket,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,57,59,upp,upp,upp,unknown,upp,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,58,60,in,in,in,unknown,in,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,59,61,gör,gör,gör,unknown,gör,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,60,62,få,få,få,unknown,få,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
sv,v1,1,61,63,blir,blir,blir,unknown,blir,wordfreq:sv,wordfreq_seeded;deterministically_filtered;structurally_curated
