language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
nl,v1,1,45,47,geen,geen,geen,unknown,geen,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,46,48,mijn,mijn,mijn,unknown,mijn,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,47,49,wel,wel,wel,unknown,wel,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,48,50,tot,tot,tot,unknown,tot,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,49,51,u,u,u,unknown,u,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,50,52,wordt,wordt,wordt,unknown,wordt,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,51,53,heb,heb,heb,unknown,heb,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,52,54,worden,worden,worden,unknown,worden,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,53,55,nu,nu,nu,unknown,nu,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,54,56,haar,haar,haar,unknown,haar,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,55,57,ben,ben,ben,unknown,ben,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,56,58,kunnen,kunnen,kunnen,unknown,kunnen,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,57,59,veel,veel,veel,unknown,veel,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,58,60,jaar,jaar,jaar,unknown,jaar,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,59,61,me,me,me,unknown,me,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,60,62,moet,moet,moet,unknown,moet,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,61,63,hoe,hoe,hoe,unknown,hoe,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
nl,v1,1,62,64,mensen,mensen,mensen,unknown,mensen,wordfreq:nl,wordfreq_seeded;deterministically_filtered;structurally_curated
