language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
cs,v1,1,45,48,není,není,není,unknown,není,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,46,49,bylo,bylo,bylo,unknown,bylo,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,47,50,aby,aby,aby,unknown,aby,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,48,51,než,než,než,unknown,než,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,49,52,ze,ze,ze,unknown,ze,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,50,53,ještě,ještě,ještě,unknown,ještě,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,51,54,byla,byla,byla,unknown,byla,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,52,55,být,být,být,unknown,být,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,53,56,také,také,také,unknown,také,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,54,58,ani,ani,ani,unknown,ani,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,55,60,pak,pak,pak,unknown,pak,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,56,61,při,při,při,unknown,při,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,57,62,tam,tam,tam,unknown,tam,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,58,63,toho,toho,toho,unknown,toho,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,59,64,ten,ten,ten,unknown,ten,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,60,65,kde,kde,kde,unknown,kde,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,61,66,mám,mám,mám,unknown,mám,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,62,67,která,která,která,unknown,která,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,63,68,ho,ho,ho,unknown,ho,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,64,69,ne,ne,ne,unknown,ne,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,65,70,před,před,před,unknown,před,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,66,71,bych,bych,bych,unknown,bych,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,67,72,protože,protože,protože,unknown,protože,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,68,73,první,první,první,unknown,první,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,69,74,tu,tu,tu,unknown,tu,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,70,76,podle,podle,podle,unknown,podle,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,71,77,pokud,pokud,pokud,unknown,pokud,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,72,78,tom,tom,tom,unknown,tom,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,73,79,něco,něco,něco,unknown,něco,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,74,80,tím,tím,tím,unknown,tím,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,75,81,další,další,další,unknown,další,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,76,82,teď,teď,teď,unknown,teď,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,77,83,nic,nic,nic,unknown,nic,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,78,84,let,let,let,unknown,let,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,79,85,mezi,mezi,mezi,unknown,mezi,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,80,86,nás,nás,nás,unknown,nás,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,81,87,vám,vám,vám,unknown,vám,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,82,88,vás,vás,vás,unknown,vás,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,83,89,bez,bez,bez,unknown,bez,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,84,90,jste,jste,jste,unknown,jste,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,85,91,kdo,kdo,kdo,unknown,kdo,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,86,92,moc,moc,moc,unknown,moc,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,87,93,proč,proč,proč,unknown,proč,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,88,94,své,své,své,unknown,své,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,89,95,tomu,tomu,tomu,unknown,tomu,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,90,96,asi,asi,asi,unknown,asi,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,91,97,jejich,jejich,jejich,unknown,jejich,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,92,98,může,může,může,unknown,může,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,93,99,kdy,kdy,kdy,unknown,kdy,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,94,100,ji,ji,ji,unknown,ji,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,95,101,měl,měl,měl,unknown,měl,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,96,102,ti,ti,ti,unknown,ti,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,97,103,více,více,více,unknown,více,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,98,104,mu,mu,mu,unknown,mu,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,99,105,roku,roku,roku,unknown,roku,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,100,106,dnes,dnes,dnes,unknown,dnes,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,101,107,či,či,či,unknown,či,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,102,108,mít,mít,mít,unknown,mít,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,103,109,roce,roce,roce,unknown,roce,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,104,110,takže,takže,takže,unknown,takže,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,105,112,no,no,no,unknown,no,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,106,113,nám,nám,nám,unknown,nám,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,107,114,všechny,všechny,všechny,unknown,všechny,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,108,115,díky,díky,díky,unknown,díky,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,109,116,však,však,však,unknown,však,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,110,117,již,již,již,unknown,již,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,111,118,nad,nad,nad,unknown,nad,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
cs,v1,1,112,119,jestli,jestli,jestli,unknown,jestli,wordfreq:cs,wordfreq_seeded;deterministically_filtered;structurally_curated
