language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
fi,v1,1,43,47,paljon,paljon,paljon,unknown,paljon,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,44,48,saa,saa,saa,unknown,saa,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,45,49,olen,olen,olen,unknown,olen,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,46,50,pitää,pitää,pitää,unknown,pitää,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,47,51,ihan,ihan,ihan,unknown,ihan,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,48,52,mitään,mitään,mitään,unknown,mitään,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,49,53,tulee,tulee,tulee,unknown,tulee,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,50,54,hyvin,hyvin,hyvin,unknown,hyvin,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,51,55,tässä,tässä,tässä,unknown,tässä,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,52,56,hänen,hänen,hänen,unknown,hänen,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,53,57,vaan,vaan,vaan,unknown,vaan,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,54,58,koska,koska,koska,unknown,koska,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,55,60,aina,aina,aina,unknown,aina,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,56,61,eivät,eivät,eivät,unknown,eivät,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,57,62,koko,koko,koko,unknown,koko,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,58,63,kuitenkin,kuitenkin,kuitenkin,unknown,kuitenkin,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,59,64,vaikka,vaikka,vaikka,unknown,vaikka,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,60,65,mikä,mikä,mikä,unknown,mikä,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,61,66,vuoden,vuoden,vuoden,unknown,vuoden,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,62,67,ennen,ennen,ennen,unknown,ennen,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,63,68,jotka,jotka,jotka,unknown,jotka,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,64,69,aika,aika,aika,unknown,aika,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,65,70,eli,eli,eli,unknown,eli,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,66,71,jossa,jossa,jossa,unknown,jossa,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,67,73,et,et,et,unknown,et,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,68,74,näin,näin,näin,unknown,näin,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,69,75,tämän,tämän,tämän,unknown,tämän,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,70,76,noin,noin,noin,unknown,noin,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
fi,v1,1,71,77,vuonna,vuonna,vuonna,unknown,vuonna,wordfreq:fi,wordfreq_seeded;deterministically_filtered;structurally_curated
